event,method,outer_step,optimizer_update,wall_seconds,completion_tokens,peak_memory_mib,loss,grad_norm,approx_kl,sampled_logratio_to_ref,entropy,clip_fraction,reward,group_reward_std,degenerate_group_rate,all_zero_group_rate,all_one_group_rate,pass_at_group,mean_completion_length,rollout_seconds
train,grpo,10,20,2.1968399040051736,3769,3255.806640625,-0.00862841121852398,4.82521390914917,0.1090061143040657,0.19717736542224884,0.8520709872245789,0.015037594363093376,0.140625,0.2642258107662201,0.25,0.25,0.0,0.75,6.234375,0.0672037549666129
train,grpo,20,40,3.9314844160107896,7289,3255.806640625,0.0007969336584210396,0.10801190137863159,0.03745529428124428,0.1172049418091774,0.7063705325126648,0.0,0.5,0.0,1.0,0.5,0.5,0.5,4.75,0.0571182009880431
train,grpo,30,60,5.661956646014005,11031,3255.806640625,0.00010250776540488005,1.695122241973877,0.12886565923690796,0.21499164402484894,0.8559186458587646,0.0,0.234375,0.06051536649465561,0.75,0.75,0.0,0.25,6.5,0.0689408679609187
train,grpo,40,80,7.426055149990134,14832,3255.806640625,0.004068049602210522,4.7191596031188965,0.21881361305713654,0.27319851517677307,0.9481459259986877,0.022535210475325584,0.109375,0.12401959300041199,0.75,0.75,0.0,0.25,5.546875,0.06965790601680055
train,grpo,50,100,9.128460964013357,18148,3255.806640625,0.0032661380246281624,0.17639829218387604,0.15634185075759888,0.3695376515388489,0.5296626687049866,0.0034246575087308884,0.25,0.0,1.0,0.75,0.25,0.25,4.5625,0.05654978298116475
train,grpo,60,120,10.821305351972114,21492,3255.806640625,0.0007749263313598931,0.03306032344698906,0.04302961379289627,0.17174220085144043,0.5380684733390808,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.07059865701012313
train,grpo,70,140,12.626808998989873,24907,3255.806640625,0.0016541695222258568,0.08504357188940048,0.07738368213176727,0.19515426456928253,0.4088188409805298,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0625,0.06886274204589427
train,grpo,80,160,14.359506692970172,28276,3255.806640625,0.0008657569997012615,0.04682048037648201,0.048406932502985,0.2006581723690033,0.5071442127227783,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.5625,0.07416842202655971
train,grpo,90,180,16.091384867962915,31619,3255.806640625,0.0014824533136561513,0.08289549499750137,0.06881802529096603,0.21357187628746033,0.56755131483078,0.0,0.25,0.0,1.0,0.75,0.25,0.25,5.296875,0.07175124296918511
train,grpo,100,200,17.829062976001296,35014,3311.76220703125,0.0009148722747340798,0.03246729448437691,0.047953251749277115,0.18717241287231445,0.42347270250320435,0.0,0.25,0.0,1.0,0.75,0.25,0.25,5.5625,0.07223330601118505
train,grpo,110,220,19.592404605005868,38336,3311.76220703125,0.0012746057473123074,0.08042178303003311,0.0697023943066597,0.21034401655197144,0.65633624792099,0.0,0.25,0.0,1.0,0.75,0.25,0.25,5.546875,0.0713561269803904
train,grpo,120,240,21.26573003595695,41574,3311.76220703125,-0.004569822922348976,1.5108755826950073,0.053535107523202896,0.17127013206481934,0.6207948327064514,0.005602241028100252,0.234375,0.06051536649465561,0.75,0.75,0.0,0.25,5.578125,0.07175611599814147
train,grpo,130,260,22.943851310003083,44854,3311.76220703125,0.0011587957851588726,0.06716492027044296,0.05561790242791176,0.20621556043624878,0.36942631006240845,0.0,0.25,0.0,1.0,0.75,0.25,0.25,4.671875,0.05466312204953283
train,grpo,140,280,24.722491313004866,48497,3311.76220703125,0.0014996696263551712,0.09703751653432846,0.052452780306339264,0.18366006016731262,0.47000202536582947,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.328125,0.07196914701489732
train,grpo,150,300,26.438489872962236,52037,3311.76220703125,0.0009131526458077133,0.02663543075323105,0.0450008362531662,0.19492603838443756,0.41225650906562805,0.0,0.5,0.0,1.0,0.5,0.5,0.5,4.546875,0.05519277899293229
train,grpo,160,320,28.084406698995735,55171,3311.76220703125,0.0005227599176578224,0.03138195350766182,0.026138002052903175,0.14451853930950165,0.4137840270996094,0.0,0.5,0.0,1.0,0.5,0.5,0.5,5.0,0.054957504966296256
train,grpo,170,340,29.80354759498732,58262,3311.76220703125,0.0009159250184893608,0.09905947744846344,0.04704499989748001,0.16008447110652924,0.4928959906101227,0.0,0.25,0.0,1.0,0.75,0.25,0.25,4.625,0.07202000200049952
train,grpo,180,360,31.485201100003906,61433,3311.76220703125,0.0007049841806292534,0.04616239294409752,0.03242093697190285,0.1524563431739807,0.49277710914611816,0.0,0.25,0.0,1.0,0.75,0.25,0.25,4.46875,0.054286253987811506
train,grpo,190,380,33.206439711968414,64675,3311.76220703125,0.00048728904221206903,0.02353562042117119,0.026653995737433434,0.12004775553941727,0.5261904001235962,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.828125,0.07013465696945786
train,grpo,200,400,34.937814773991704,68013,3311.76220703125,-0.006669799331575632,2.2083775997161865,0.047225791960954666,0.1593189686536789,0.701122522354126,0.0058309040032327175,0.03125,0.08267972618341446,0.75,0.75,0.0,0.25,5.359375,0.07160354498773813
train,grpo,210,420,36.60813117999351,71187,3311.76220703125,0.0011522953864187002,0.09032125771045685,0.06240570545196533,0.21298931539058685,0.3436838984489441,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.671875,0.06099939299747348
train,grpo,220,440,38.38833256496582,74836,3311.76220703125,0.002451053587719798,0.0685584768652916,0.14582066237926483,0.2919882833957672,0.47578033804893494,0.0,0.25,0.0,1.0,0.75,0.25,0.25,6.390625,0.07144673098810017
train,grpo,230,460,40.161538621992804,78321,3311.76220703125,0.0016900893533602357,0.06989052146673203,0.11024605482816696,0.2528604567050934,0.5238869190216064,0.0,0.25,0.0,1.0,0.75,0.25,0.25,4.75,0.07260758004849777
train,grpo,240,480,41.94694943598006,82138,3311.76220703125,0.0013891400303691626,0.02413751929998398,0.08665996789932251,0.2159421443939209,0.519400417804718,0.0,0.25,0.0,1.0,0.75,0.25,0.25,5.84375,0.07170952198794112
train,grpo,250,500,43.71324305498274,85646,3325.80224609375,0.0014125657035037875,0.0600278377532959,0.09034217149019241,0.20904114842414856,0.7706168293952942,0.0,0.25,0.0,1.0,0.75,0.25,0.25,5.265625,0.07116583996685222
completed,grpo,,,44.556031370011624,85646,3325.80224609375,,,,,,,,,,,,,,
