event,step,loss,lr,grad_norm,chosen_targets,rejected_targets,peak_memory_mib,wall_seconds,dpo_loss,reward_margin,preference_credit
train,160,1.9032405614852905,2.976069329622721e-08,1.859492301940918,1711321,0,5249.70751953125,63.01465654373169,,,
train,170,2.0329454839229584,2.8593071907049708e-08,1.983367919921875,1824752,0,5249.70751953125,65.56096196174622,,,
train,180,2.057377338409424,2.7392456103915155e-08,1.992248773574829,1927979,0,5249.70751953125,68.1381573677063,,,
train,190,1.9170533418655396,2.6164854256726143e-08,1.686956524848938,2040349,0,5249.70751953125,70.69089460372925,,,
train,200,1.9810794293880463,2.4916409784527952e-08,2.076936721801758,2150736,0,5249.70751953125,73.22065949440002,,,
validation,200,,,,,,,,0.7290895349960774,0.09669863733649253,0.543
train,210,2.2102258056402206,2.36533704113404e-08,2.2152562141418457,2260697,0,5249.70751953125,87.18455839157104,,,
train,220,2.167216122150421,2.2382056900005223e-08,2.2341909408569336,2358679,0,5249.70751953125,89.67503142356873,,,
train,230,2.202314168214798,2.1108831420517477e-08,1.9808889627456665,2460400,0,5249.70751953125,92.29056644439697,,,
train,240,1.9473452866077423,1.9840065711138642e-08,1.886671781539917,2570647,0,5249.70751953125,94.78106355667114,,,
train,250,2.161918818950653,1.8582109191626294e-08,2.064270496368408,2678310,0,5249.70751953125,97.33562445640564,,,
train,260,1.8814368098974228,1.734125718815463e-08,1.8969470262527466,2789755,0,5249.70751953125,99.93578267097473,,,
train,270,1.915424406528473,1.6123719428941262e-08,2.0764060020446777,2894240,0,5249.70751953125,102.56119060516357,,,
train,280,1.8609883785247803,1.4935588968241052e-08,1.5809996128082275,3005654,0,5249.70751953125,105.14571166038513,,,
train,290,2.2060348093509674,1.3782811694223887e-08,1.8031591176986694,3112960,0,5249.70751953125,107.6909646987915,,,
train,300,1.9832484424114227,1.2671156573331424e-08,1.8203883171081543,3218789,0,5249.70751953125,110.28851675987244,,,
validation,300,,,,,,,,0.7321094679348171,0.09952514553070069,0.533
train,310,1.8818712532520294,1.1606186780022134e-08,1.9449489116668701,3332302,0,5249.70751953125,124.736337184906,,,
train,320,2.128921300172806,1.059323185638317e-08,2.1847639083862305,3440528,0,5249.70751953125,127.30514073371887,,,
train,330,1.9369204640388489,9.637361040933631e-09,1.7879300117492676,3550595,0,5249.70751953125,129.88402485847473,,,
train,340,1.937499463558197,8.743357900092786e-09,1.9088661670684814,3657938,0,5249.70751953125,132.4541962146759,,,
train,350,1.9596008360385895,7.915696389267704e-09,1.7285304069519043,3772155,0,5249.70751953125,135.06316781044006,,,
train,360,2.0017782747745514,7.15851846336038e-09,1.8610215187072754,3878514,0,5249.70751953125,137.5480978488922,,,
train,370,2.2651894092559814,6.47561334874035e-09,1.8834415674209595,3990310,0,5249.70751953125,140.1917519569397,,,
train,380,1.8603854775428772,5.870398580414497e-09,1.671968698501587,4098462,0,5249.70751953125,142.78682279586792,,,
train,390,2.080920100212097,5.345902899291536e-09,1.780840277671814,4204222,0,5249.70751953125,145.3082046508789,,,
train,400,2.0529628694057465,4.904751095130428e-09,2.3407366275787354,4301621,0,5249.70751953125,147.75263929367065,,,
validation,400,,,,,,,,0.7344951167125255,0.10066353112459182,0.55
train,410,2.019559293985367,4.549150871024597e-09,2.18318772315979,4400323,0,5249.70751953125,162.03403639793396,,,
train,420,2.1826077103614807,4.280881795157558e-09,2.0957562923431396,4506528,0,5249.70751953125,164.58938932418823,,,
train,430,2.0219201743602753,4.101286395119756e-09,1.8833680152893066,4613125,0,5249.70751953125,167.05173659324646,,,
train,440,2.1357101798057556,4.011263439354366e-09,1.8927738666534424,4726480,0,5249.70751953125,169.59718680381775,,,
train,444,1.9509609043598175,4.000450582689207e-09,2.4350130558013916,4765435,0,5249.70751953125,170.56432008743286,,,
validation,444,,,,,,,,0.7390026242695749,0.09364865306019783,0.534
completed,444,,,,4765435,0,,182.35015439987183,,,
