event,method,outer_step,optimizer_update,wall_seconds,completion_tokens,peak_memory_mib,loss,grad_norm,approx_kl,sampled_logratio_to_ref,entropy,clip_fraction,reward,group_reward_std,degenerate_group_rate,all_zero_group_rate,all_one_group_rate,pass_at_group,mean_completion_length,rollout_seconds
train,grpo,10,20,2.0574064219836146,3277,3240.515625,0.004147060215473175,0.17223109304904938,0.19399534165859222,0.3970743417739868,0.35180044174194336,0.011695906519889832,1.0,0.0,1.0,0.0,1.0,1.0,5.34375,0.05886147904675454
train,grpo,20,40,3.793228870956227,6343,3250.712890625,0.0006639314815402031,1.9507497549057007,0.20897310972213745,0.4136965274810791,0.4445151090621948,0.006451612804085016,0.96875,0.08267972618341446,0.75,0.0,0.75,1.0,4.84375,0.07091055298224092
train,grpo,30,60,5.455394132004585,9431,3250.712890625,0.008628612384200096,0.07575676590204239,0.4342392385005951,0.7787142395973206,0.2663823962211609,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.546875,0.052810314984526485
train,grpo,40,80,7.0085148549987935,12404,3250.712890625,0.009897440671920776,0.03379902243614197,0.4871426522731781,0.8081312775611877,0.16968664526939392,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.75,0.05361066304612905
train,grpo,50,100,8.60574008297408,15439,3250.712890625,0.005937218200415373,0.08968526870012283,0.30848678946495056,0.5504915118217468,0.49864235520362854,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.96875,0.05850599496625364
train,grpo,60,120,10.200168147974182,18411,3250.712890625,0.009330280125141144,0.04641539603471756,0.47348567843437195,0.7638441920280457,0.39862704277038574,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.546875,0.0656192540191114
train,grpo,70,140,11.788421381963417,21428,3250.712890625,-0.0001175934448838234,1.58229660987854,0.469719260931015,0.6980969309806824,0.4048360586166382,0.016393441706895828,0.984375,0.06051536649465561,0.75,0.0,0.75,1.0,4.765625,0.0531471679569222
train,grpo,80,160,13.44593626796268,24432,3250.712890625,0.007989266887307167,0.05439836159348488,0.398799866437912,0.6991585493087769,0.32475605607032776,0.0034602077212184668,1.0,0.0,1.0,0.0,1.0,1.0,4.515625,0.05808247398817912
train,grpo,90,180,15.022681632952299,27486,3250.712890625,0.0061987051740288734,0.05448104068636894,0.30709272623062134,0.5450690984725952,0.5068713426589966,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.734375,0.0521627189591527
train,grpo,100,200,16.6344675750006,30471,3305.85595703125,0.00568859837949276,0.11026572436094284,0.2831948399543762,0.5415026545524597,0.30281198024749756,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.953125,0.053581501997541636
train,grpo,110,220,18.245103547989856,33504,3305.85595703125,0.007779096253216267,0.08342945575714111,0.3868633210659027,0.6351749897003174,0.4175722599029541,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.40625,0.052780619997065514
train,grpo,120,240,19.80236506095389,36469,3305.85595703125,0.007586284540593624,0.07308654487133026,0.3648618161678314,0.6216326355934143,0.3446178436279297,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.71875,0.05347573303151876
train,grpo,130,260,21.357603486976586,39495,3305.85595703125,0.008256418630480766,0.07486725598573685,0.39092040061950684,0.673268735408783,0.3678077757358551,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.25,0.05258567299460992
train,grpo,140,280,22.948138190957252,42497,3305.85595703125,0.009731084108352661,0.049594633281230927,0.47154614329338074,0.7701115012168884,0.29906970262527466,0.017421603202819824,1.0,0.0,1.0,0.0,1.0,1.0,4.484375,0.053192837978713214
train,grpo,150,300,24.541860142955557,45429,3305.85595703125,0.005088214296847582,0.04557894915342331,0.24081772565841675,0.4614451825618744,0.27745041251182556,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.265625,0.052399192994926125
