event,step,loss,lr,grad_norm,chosen_targets,rejected_targets,peak_memory_mib,wall_seconds,dpo_loss,reward_margin,preference_credit
train,170,0.5584951043128967,2.8593071907049708e-08,44.604713439941406,1824752,1659783,9084.0205078125,139.6894292831421,,,
train,180,0.6310777068138123,2.7392456103915155e-08,48.58076477050781,1927979,1763251,9084.0205078125,146.62998127937317,,,
train,190,0.6268188804388046,2.6164854256726143e-08,52.64167404174805,2040349,1865266,9084.0205078125,153.52097511291504,,,
train,200,0.5880543291568756,2.4916409784527952e-08,45.05415344238281,2150736,1969176,9084.0205078125,160.34808492660522,,,
validation,200,,,,,,,,0.6111116368994117,0.24491516440361738,0.696
train,210,0.6512308865785599,2.36533704113404e-08,50.12723922729492,2260697,2071626,9084.0205078125,179.23981428146362,,,
train,220,0.5691578835248947,2.2382056900005223e-08,41.250919342041016,2358679,2163276,9084.0205078125,185.94621539115906,,,
train,230,0.5418775081634521,2.1108831420517477e-08,45.858482360839844,2460400,2258033,9084.0205078125,192.98351621627808,,,
train,240,0.5399824529886246,1.9840065711138642e-08,46.38249969482422,2570647,2357108,9084.0205078125,199.66526913642883,,,
train,250,0.5764927864074707,1.8582109191626294e-08,45.9178352355957,2678310,2456626,9084.0205078125,206.55168271064758,,,
train,260,0.6347857117652893,1.734125718815463e-08,43.7531852722168,2789755,2555971,9084.0205078125,213.58662843704224,,,
train,270,0.6282443106174469,1.6123719428941262e-08,54.69355773925781,2894240,2657357,9084.0205078125,220.6661217212677,,,
train,280,0.6162029802799225,1.4935588968241052e-08,55.519447326660156,3005654,2759089,9084.0205078125,227.60466814041138,,,
train,290,0.5659502148628235,1.3782811694223887e-08,48.52132797241211,3112960,2858375,9084.0205078125,234.4636914730072,,,
train,300,0.6528653353452682,1.2671156573331424e-08,55.93458557128906,3218789,2960757,9084.0205078125,241.4892327785492,,,
validation,300,,,,,,,,0.6086495153605938,0.25487449712026866,0.693
train,310,0.6107970923185349,1.1606186780022134e-08,51.31361389160156,3332302,3069450,9084.0205078125,260.6218137741089,,,
train,320,0.6021856963634491,1.059323185638317e-08,44.83257293701172,3440528,3166185,9084.0205078125,267.5561032295227,,,
train,330,0.5825396031141281,9.637361040933631e-09,48.00270462036133,3550595,3262185,9084.0205078125,274.5074429512024,,,
train,340,0.6013098955154419,8.743357900092786e-09,40.674461364746094,3657938,3363397,9084.0205078125,281.42551922798157,,,
train,350,0.6563373059034348,7.915696389267704e-09,49.94513702392578,3772155,3464821,9084.0205078125,288.47256660461426,,,
train,360,0.5681394785642624,7.15851846336038e-09,50.0251350402832,3878514,3565380,9084.0205078125,295.1718502044678,,,
train,370,0.5738094300031662,6.47561334874035e-09,44.74604415893555,3990310,3669278,9084.0205078125,302.307993888855,,,
train,380,0.5394363254308701,5.870398580414497e-09,46.114994049072266,4098462,3766980,9084.0205078125,309.3028492927551,,,
train,390,0.5284572094678879,5.345902899291536e-09,45.337158203125,4204222,3862221,9084.0205078125,316.1190457344055,,,
train,400,0.5890710204839706,4.904751095130428e-09,44.591102600097656,4301621,3952578,9084.0205078125,322.68476486206055,,,
validation,400,,,,,,,,0.6057787118032575,0.2649315619496629,0.693
train,410,0.5577350333333015,4.549150871024597e-09,47.70616912841797,4400323,4043456,9084.0205078125,341.5240924358368,,,
train,420,0.6870530247688293,4.280881795157558e-09,49.37214279174805,4506528,4142423,9084.0205078125,348.4230422973633,,,
train,430,0.6003020703792572,4.101286395119756e-09,52.41001892089844,4613125,4240345,9084.0205078125,355.0238060951233,,,
train,440,0.5413113087415695,4.011263439354366e-09,45.394500732421875,4726480,4337541,9084.0205078125,361.88868379592896,,,
train,444,0.5711723566055298,4.000450582689207e-09,65.56573486328125,4765435,4375948,9084.0205078125,364.47225761413574,,,
validation,444,,,,,,,,0.6058101405352354,0.26522267699055374,0.691
completed,444,,,,4765435,4375948,,376.2115297317505,,,
